"Zone Code","Municipality Name","Municipality id","Barangay Name","Barangay id",Status
ABR,Abra,111,Lacub,504,0
ABR,Abra,111,Penarrubia,512,0
ABR,Abra,111,Tineg,520,0
ABR,Abra,111,Boliney,497,0
ABR,Abra,111,Lagangilan,505,0
ABR,Abra,111,Pidigan,513,0
ABR,Abra,111,Tubo,521,0
ABR,Abra,111,Bucay,498,0
ABR,Abra,111,Lagayan,506,0
ABR,Abra,111,Pilar,514,0
ABR,Abra,111,Bangued,522,0
ABR,Abra,111,Bucloc,499,0
ABR,Abra,111,Langiden,507,0
ABR,Abra,111,Sal-Lapadan,515,0
ABR,Abra,111,Villaviciosa,523,0
ABR,Abra,111,Daguioman,500,0
ABR,Abra,111,Licuan,508,0
ABR,Abra,111,"San Isidro",516,0
ABR,Abra,111,Danglas,501,0
ABR,Abra,111,Luba,509,0
ABR,Abra,111,"San Juan",517,0
ABR,Abra,111,Dolores,502,0
ABR,Abra,111,Malibcong,510,0
ABR,Abra,111,"San Quintin",518,0
ABR,Abra,111,"La Paz",503,0
ABR,Abra,111,Manabo,511,0
ABR,Abra,111,Tayum,519,0
AKL,"New Washington",20,"New Washington",166,1
AKL,"Tangalan Poblacion",218,Dumatad,1510,0
AKL,"Numancia Poblacion",779,Bubog,5214,1
AKL,"Lezo  Poblacion",220,"Lezo Poblacion",1518,1
AKL,Buruanga,780,Buruanga,5222,0
AKL,Malay,28,Malay,182,0
AKL,Banga,226,"Brgy Linabuan Sur",10012,1
AKL,Banga,226,Palale,2843,1
AKL,Altavas,224,Altavas,1534,0
AKL,Kalibo,229,Ca-Ano,10020,1
AKL,Makato,31,Dumga,198,1
AKL,"New Washington",20,Candelaria,1542,0
AKL,"New Washington",20,Jalas,10028,0
AKL,"New Washington",20,Fatima,10036,0
AKL,"Numancia Poblacion",779,"Dongon West",10044,1
AKL,Ibajay,228,Monlaque,2436,2
AKL,"Tangalan Poblacion",218,Jawili,1511,0
AKL,"Numancia Poblacion",779,"Camanci Sur",5215,1
AKL,Lezo,221,Ibao,1519,2
AKL,Banga,226,Jumarap,10013,1
AKL,Makato,31,Alibagon,191,0
AKL,Kalibo,229,Nalook,10021,1
AKL,Makato,31,Libang,199,0
AKL,"New Washington",20,Cawayan,1543,2
AKL,"New Washington",20,Polo,10029,2
AKL,"New Washington",20,Pinamuk-An,10037,0
AKL,"Numancia Poblacion",779,Joyao-Joyao,10045,1
AKL,Ibajay,228,Rizal,2437,2
AKL,"Boracay Island",822,Balabag,6270,1
AKL,Kalibo,229,Andagao,5208,1
AKL,"Tangalan Poblacion",218,Pudiot,1512,0
AKL,"Numancia Poblacion",779,"Laguinbanua East",5216,1
AKL,Libacao,222,Libacao,1520,0
AKL,Banga,226,"Sta Cruz",10014,1
AKL,"Lezo  Poblacion",220,Bugasungan,2845,1
AKL,Makato,31,Baybay,192,0
AKL,Banga,226,Banga,1536,1
AKL,Kalibo,229,Pook,10022,1
AKL,Makato,31,Mantiguib,200,1
AKL,"New Washington",20,Puis,10030,0
AKL,"Numancia Poblacion",779,Albasan,10038,1
AKL,"Numancia Poblacion",779,"Laguinbanua West",10046,1
AKL,Ibajay,228,Malindog,2438,2
AKL,"Boracay Island",822,Manoc-Manoc,6271,1
AKL,Ibajay,228,Yawan,2455,2
AKL,Kalibo,229,Mabilo,5209,1
AKL,"Lezo  Poblacion",220,Ibao,2822,2
AKL,"Tangalan Poblacion",218,Panayakan,1513,0
AKL,"Numancia Poblacion",779,Tabangca,5217,1
AKL,Madalag,223,Madalag,1521,0
AKL,Banga,226,Mambog,10015,1
AKL,"Lezo  Poblacion",220,Bagto,2846,2
AKL,Makato,31,Cajilo,193,1
AKL,Batan,227,Batan,1537,0
AKL,Kalibo,229,Tinigao,10023,1
AKL,Makato,31,Tina,201,1
AKL,"New Washington",20,Jugas,10031,0
AKL,"Numancia Poblacion",779,Aliputos,10039,1
AKL,"Numancia Poblacion",779,Marianos,10047,1
AKL,Ibajay,228,Rivera,2439,2
