municipality_name,municipality_id,barangay_name,barangay_id,status
Malabon City,87,Hasa Hasa St Phase 2 Area 3,1,0
Malabon City,87,Paradise Village Letre,4,1
Malabon City,87,Hasa Hasa St. Phase 2 Area 2,5,1
Malabon City,87,Hiwas St.,6,2
Malabon City,87,Hito St.,7,1
Navotas City,88,Navotas phase- 2 area- 2,2,0
Navotas City,88,Tumana Block-33,3,0
Quezon City,89,"Violago Homes, Payatas",8,0
Caloocan City,90,Bagumbong,9,0
Caloocan City,90,Amparo Subd,10,0
Caloocan City,90,Deparo,11,0
Caloocan City,90,Bankers 2,12,0
Mandaluyong City,91,Camarin area,15,0
Caloocan City,90,Victory Heights,17,0
Caloocan City,90,Pangarap,18,0
Caloocan City,90,Malaria,20,0
Caloocan City,90,Bagong Silang,21,0
Mandaluyong City,91,Nitang Ave,13,0
Mandaluyong City,91,Villareal Ave,14,0
Mandaluyong City,91,Tala,19,0
Mandaluyong City,91,California Garden Square,10498,0
Marikina City,92,"Santan St.,Parang",22,0
Marikina City,92,Tumana Singkamas St,23,1
Marikina City,92,Bonanza Parang Phase 3,24,2
Marikina City,92,Bonanza Parang Phase 2,25,3
Marikina City,92,Champaca 3,26,0
Marikina City,92,Champaca 1,27,0
Marikina City,92,Bulelak Malanday,28,0
Pasig City,93,Doroteo Extn Santolan,29,0
San Juan City,95,Sittio Bayabas,31,0
Valenzuela City,96,Sittio Abuyod,32,0
Pasay City,97,Pahinaan Rd,33,0
Pasay City,97,Pinugay Rd,34,0
Taguig City,98,Maharlika Village,35,0
Muntinlupa City,99,Victoria Subd. Tunasan,36,0
Muntinlupa City,99,Camella Ridgeview 2 Tunasan,37,0
Muntinlupa City,99,Camella Ridgeview 1 Tunasan,38,0
Las Pinas City,100,Portofino Courtyard,39,0
Manila,101,Happy Land Tondo,40,0
Manila,101,Parola Compound Tondo,41,0
Manila,101,Isala Puting Bato Tondo,42,0
Makati City,102,ALL,43,0
