municipality_name,municipality_id,barangay_name,barangay_id,status
Sto.Tomas,1476,Sto Nino,8678,0
Sto.Tomas,1476,Sapa,8679,0
Sta. Ana,1478,San Bartolome,8693,0
Apalit,1588,San Vicente,9007,0
Lubao,1490,San Matias,8883,0
Apalit,1588,Brgy Poblacion,9008,0
Sto.Tomas,1476,Sto.Tomas,8684,0
Lubao,1490,Sta Monica,8892,0
San Luis,1481,Sta. Rita,8728,0
Sta. Ana,1478,San Pablo,8688,0
Candaba,1585,Sto. Rosario,8958,0
Lubao,1490,Santiago,8865,0
Floridablanca,1584,San Isidro,8935,0
Arayat,1587,San Nicolas,8993,0
Sta. Ana,1478,Sta. Lucia,8694,0
Sta. Ana,1478,San Joaquin,8695,0
Guagua,1583,San Juan,8907,0
Sta. Ana,1478,Sta. Ana,8697,0
Sexmoan ( Sasmuan),1479,Malusac,8698,1
Sexmoan ( Sasmuan),1479,Batang 1 & Ii,8699,0
Sexmoan ( Sasmuan),1479,Mabuanbuan,8700,2
Sexmoan ( Sasmuan),1479,Sabitanan,8701,3
Floridablanca,1584,Consuelo,8926,0
Candaba,1585,Dalayap,8949,0
Floridablanca,1584,Sta. Monica,8925,0
Floridablanca,1584,San Pedro,8923,0
Sexmoan ( Sasmuan),1479,San Nicolas 11,8706,0
Sexmoan ( Sasmuan),1479,Sexmoan ( Sasmuan),8708,0
Lubao,1490,Concepcion,8884,0
San Simon,1480,San Pablo Proper,8710,0
Candaba,1585,San Agustin,8965,0
Lubao,1490,Sta. Cruz,8882,0
Lubao,1490,San Miguel,8885,0
San Simon,1480,Sto. Nino,8718,0
Macabebe,1488,San Jose,8843,0
San Simon,1480,Poblacion,8720,0
San Simon,1480,San Simon,8721,0
San Luis,1481,Mangga,8723,0
San Luis,1481,Talang,8724,0
San Luis,1481,Barit,8725,0
Floridablanca,1584,San Roque,8922,0
Mexico,1485,San Carlos,8786,0
San Luis,1481,San Sebastian,8730,1
San Luis,1481,Sto. Tomas,8734,2
San Luis,1481,San Luis,8736,3
San Fernando,1482,San Fernando,8737,0
Porac,1483,Sapang Uwak (Aetas),8738,0
Porac,1483,Inararo (Aetas),8739,0
Porac,1483,Villa Maria (Aetas),8740,0
Porac,1483,Planas,8741,0
Porac,1483,Pias,8742,0
Porac,1483,Dolores (Hacienda Dolores),8743,0
Porac,1483,Babo Pangulo,8744,0
Porac,1483,Cangatba,8745,0
Porac,1483,Mancatian,8746,0
Porac,1483,Manibaug Pasig,8747,0
Porac,1483,Manibaug Paralaya,8749,0
